formatted_nace	ISIC	Sub	NACE
Source	Target		
A	A		
1	1		
01.1	11	10	0110
01.11	111	11	0111
01.12	112	12	0112
01.13	113	13	0113
01.14	114	14	0114
01.15	115	15	0115
01.16	116	16	0116
01.19	119	19	0119
01.2	12	20	0120
01.21	121	21	0121
01.22	122	22	0122
01.23	123	23	0123
01.24	124	24	0124
01.25	125	25	0125
01.26	126	26	0126
01.27	127	27	0127
01.28	128	28	0128
01.29	129	29	0129
01.3	13	03	0103
01.30	130	30	0130
01.4	14	40	0140
01.41	141	41	0141
01.42	141	42	0142
01.43	142	43	0143
01.44	143	44	0144
01.45	144	45	0145
01.46	145	46	0146
01.47	146	47	0147
01.49	149	49	0149
01.5	15	05	0105
01.50	150	50	0150
01.6	16	60	0160
01.61	161	61	0161
01.62	162	62	0162
01.63	163	63	0163
01.64	164	64	0164
01.7	17	07	0107
01.70	170	70	0170
02.00	2	0	0200
02.1	21	10	0201
02.10	210	10	0210
02.2	22	02	0202
02.20	220	20	0220
02.3	23	03	0203
02.30	230	30	0230
02.4	24	04	0204
02.40	240	40	0240
3	3		0300
03.1	31	10	0310
03.11	311	11	0311
03.12	312	12	0312
03.2	32	20	0320
03.21	321	21	0321
03.22	322	22	0322
B	B		
5	5		0500
05.1	51	01	0501
05.10	510	10	0510
05.2	52	02	0502
05.20	520	20	0520
6	6		0600
06.1	61	01	0601
06.10	610	10	0610
06.2	62	02	0602
06.20	620	20	0620
7	7		0700
07.1	71	01	0701
07.10	710	10	0710
07.2	72	02	0702
07.21	721	21	0721
07.29	729	29	0729
8	8		0800
08.1	81	10	0810
08.11	810	11	0811
08.12	810	12	0812
08.9	89	90	0890
08.91	891	91	0891
08.92	892	92	0892
08.93	893	93	0893
08.99	899	99	0899
9	9		0900
09.1	91	01	0901
09.10	910	10	0910
09.9	99	09	0909
09.90	990	90	0990
C	C		
10	10		1000
10.1	101	10	1010
10.11	1010	11	1011
10.12	1010	12	1012
10.13	1010	13	1013
10.2	102	20	1020
10.20	1020	20	1020
10.3	103	30	1030
10.31	1030	31	1031
10.32	1030	32	1032
10.39	1030	39	1039
10.4	104	40	1040
10.41	1040	41	1041
10.42	1040	42	1042
10.5	105	50	1050
10.51	1050	51	1051
10.52	1050	52	1052
10.6	106	60	1060
10.61	1061	61	1061
10.62	1062	62	1062
10.7	107	70	1070
10.71	1071	71	1071
10.72	1071	72	1072
10.73	1074	73	1073
10.8	107	80	1080
10.81	1072	81	1081
10.82	1073	82	1082
10.83	1079	83	1083
10.84	1079	84	1084
10.85	1075	85	1085
10.86	1079	86	1086
10.89	1079	89	1089
10.9	108	90	1090
10.91	1080	91	1091
10.92	1080	92	1092
11	11		1100
11.0	110	0	110
11.01	1101	01	1101
11.02	1102	02	1102
11.03	1102	03	1103
11.04	1102	04	1104
11.05	1103	05	1105
11.06	1103	06	1106
11.07	1104	07	1107
12	12		1200
12.0	120	0	120
12.00	1200	0	1200
13	13		1300
13.1	131	01	1301
13.10	1311	10	1310
13.2	131	02	1302
13.20	1312	20	1320
13.3	131	03	1303
13.30	1313	30	1330
13.9	139	90	1390
13.91	1391	91	1391
13.92	1392	92	1392
13.93	1393	93	1393
13.94	1394	94	1394
13.95	1399	95	1395
13.96	1399	96	1396
13.99	1399	99	1399
14	14		1400
14.1	141	10	1410
14.11	1410	11	1411
14.12	1410	12	1412
14.13	1410	13	1413
14.14	1410	14	1414
14.19	1410	19	1419
14.2	142	02	1402
14.20	1420	20	1420
14.3	143	30	1430
14.31	1430	31	1431
14.39	1430	39	1439
15	15		1500
15.1	151	10	1510
15.11	1511	11	1511
15.12	1512	12	1512
15.2	152	02	1502
15.20	1520	20	1520
16	16		1600
16.1	161	01	1601
16.10	1610	10	1610
16.2	162	20	1620
16.21	1621	21	1621
16.22	1622	22	1622
16.23	1622	23	1623
16.24	1623	24	1624
16.29	1629	29	1629
17	17		1700
17.1	170	10	1710
17.11	1701	11	1711
17.12	1701	12	1712
17.2	170	20	1720
17.21	1702	21	1721
17.22	1709	22	1722
17.23	1709	23	1723
17.24	1709	24	1724
17.29	1709	29	1729
18	18		1800
18.1	181	10	1810
18.11	1811	11	1811
18.12	1811	12	1812
18.13	1812	13	1813
18.14	1812	14	1814
18.2	182	02	1802
18.20	1820	20	1820
19	19		1900
19.1	191	01	1901
19.10	1910	10	1910
19.2	192	02	1902
19.20	1920	20	1920
20	20		2000
20.1	201	10	2010
20.11	2011	11	2011
20.12	2011	12	2012
20.13	2011	13	2013
20.14	2011	14	2014
20.15	2012	15	2015
20.16	2013	16	2016
20.17	2013	17	2017
20.2	202	02	2002
20.20	2021	20	2020
20.3	202	03	2003
20.30	2022	30	2030
20.4	202	40	2040
20.41	2023	41	2041
20.42	2023	42	2042
20.5	202	50	2050
20.51	2029	51	2051
20.52	2029	52	2052
20.53	2029	53	2053
20.59	2029	59	2059
20.6	203	06	2006
20.60	2030	60	2060
21	21		2100
21.1	210	01	2101
21.10	2100	10	2110
21.2	210	02	2102
21.20	2100	20	2120
22	22		2200
22.1	221	10	2210
22.11	2211	11	2211
22.19	2219	19	2219
22.2	222	20	2220
22.21	2220	21	2221
22.22	2220	22	2222
22.23	2220	23	2223
22.29	2220	29	2229
23	23		2300
23.1	231	10	2310
23.11	2310	11	2311
23.12	2310	12	2312
23.13	2310	13	2313
23.14	2310	14	2314
23.19	2310	19	2319
23.2	239	02	2302
23.20	2391	20	2320
23.3	239	30	2330
23.31	2392	31	2331
23.32	2392	32	2332
23.4	239	40	2340
23.41	2393	41	2341
23.42	2393	42	2342
23.43	2393	43	2343
23.44	2393	44	2344
23.49	2393	49	2349
23.5	239	50	2350
23.51	2394	51	2351
23.52	2394	52	2352
23.6	239	60	2360
23.61	2395	61	2361
23.62	2395	62	2362
23.63	2395	63	2363
23.64	2395	64	2364
23.65	2395	65	2365
23.69	2395	69	2369
23.7	239	07	2307
23.70	2396	70	2370
23.9	239	90	2390
23.91	2399	91	2391
23.99	2399	99	2399
24	24		2400
24.1	241	01	2401
24.10	2410	10	2410
24.2	241	02	2402
24.20	2410	20	2420
24.3	241	30	2430
24.31	2410	31	2431
24.32	2410	32	2432
24.33	2410	33	2433
24.34	2410	34	2434
24.4	242	40	2440
24.41	2420	41	2441
24.42	2420	42	2442
24.43	2420	43	2443
24.44	2420	44	2444
24.45	2420	45	2445
24.46	2420	46	2446
24.5	243	50	2450
24.51	2431	51	2451
24.52	2431	52	2452
24.53	2432	53	2453
24.54	2432	54	2454
25	25		2500
25.1	251	10	2510
25.11	2511	11	2511
25.12	2511	12	2512
25.2	251	20	2520
25.21	2512	21	2521
25.29	2512	29	2529
25.3	251	03	2503
25.30	2513	30	2530
25.4	252	04	2504
25.40	2520	40	2540
25.5	259	05	2505
25.50	2591	50	2550
25.6	259	60	2560
25.61	2592	61	2561
25.62	2592	62	2562
25.7	259	70	2570
25.71	2593	71	2571
25.72	2593	72	2572
25.73	2593	73	2573
25.9	259	90	2590
25.91	2599	91	2591
25.92	2599	92	2592
25.93	2599	93	2593
25.94	2599	94	2594
25.99	2599	99	2599
26	26		2600
26.1	261	10	2610
26.11	2610	11	2611
26.12	2610	12	2612
26.2	262	02	2602
26.20	2620	20	2620
26.3	263	03	2603
26.30	2630	30	2630
26.4	264	04	2604
26.40	2640	40	2640
26.5	265	50	2650
26.51	2651	51	2651
26.52	2652	52	2652
26.6	266	06	2606
26.60	2660	60	2660
26.7	267	07	2607
26.70	2670	70	2670
26.8	268	08	2608
26.80	2680	80	2680
27	27		2700
27.1	271	10	2710
27.11	2710	11	2711
27.12	2710	12	2712
27.2	272	02	2702
27.20	2720	20	2720
27.3	273	30	2730
27.31	2731	31	2731
27.32	2732	32	2732
27.33	2733	33	2733
27.4	274	04	2704
27.40	2740	40	2740
27.5	275	50	2750
27.51	2750	51	2751
27.52	2750	52	2752
27.9	279	09	2709
27.90	2790	90	2790
28	28		2800
28.1	281	10	2810
28.11	2811	11	2811
28.12	2812	12	2812
28.13	2813	13	2813
28.14	2813	14	2814
28.15	2814	15	2815
28.2	281	20	2820
28.21	2815	21	2821
28.22	2816	22	2822
28.23	2817	23	2823
28.24	2818	24	2824
28.25	2819	25	2825
28.29	2819	29	2829
28.3	282	03	2803
28.30	2821	30	2830
28.4	282	40	2840
28.41	2822	41	2841
28.49	2822	49	2849
28.9	282	90	2890
28.91	2823	91	2891
28.92	2824	92	2892
28.93	2825	93	2893
28.94	2826	94	2894
28.95	2829	95	2895
28.96	2829	96	2896
28.99	2829	99	2899
29	29		2900
29.1	291	01	2901
29.10	2910	10	2910
29.2	292	02	2902
29.20	2920	20	2920
29.3	293	30	2930
29.31	2930	31	2931
29.32	2930	32	2932
30	30		3000
30.1	301	10	3010
30.11	3011	11	3011
30.12	3012	12	3012
30.2	302	02	3002
30.20	3020	20	3020
30.3	303	03	3003
30.30	3030	30	3030
30.4	304	04	3004
30.40	3040	40	3040
30.9	309	90	3090
30.91	3091	91	3091
30.92	3092	92	3092
30.99	3099	99	3099
31	31		31
31.0	310	0	310
31.01	3100	01	3101
31.02	3100	02	3102
31.03	3100	03	3103
31.09	3100	09	3109
32	32		3200
32.1	321	10	3210
32.11	3211	11	3211
32.12	3211	12	3212
32.13	3212	13	3213
32.2	322	02	3202
32.20	3220	20	3220
32.3	323	03	3203
32.30	3230	30	3230
32.4	324	04	3204
32.40	3240	40	3240
32.5	325	05	3205
32.50	3250	50	3250
32.9	329	90	3290
32.91	3290	91	3291
32.99	3290	99	3299
33	33		3300
33.1	331	10	3310
33.11	3311	11	3311
33.12	3312	12	3312
33.13	3313	13	3313
33.14	3314	14	3314
33.15	3315	15	3315
33.16	3315	16	3316
33.17	3315	17	3317
33.19	3319	19	3319
33.2	332	02	3302
33.20	3320	20	3320
D	D		
35	35		3500
35.1	351	10	3510
35.11	3510	11	3511
35.12	3510	12	3512
35.13	3510	13	3513
35.14	3510	14	3514
35.2	352	20	3520
35.21	3520	21	3521
35.22	3520	22	3522
35.23	3520	23	3523
35.3	353	03	3503
35.30	3530	30	3530
E	E		
36	36		36
