ID	Niveau	Section	Hovedgruppe	Gruppe	Undergruppe	DB07	NB	Tekst	2-kode	3-kode	4-kode	6-kode										
1	0	A						Landbrug, jagt, skovbrug og fiskeri														
2	1	A	01					Plante- og husdyravl, jagt og serviceydelser i forbindelse hermed	01													
3	2	A	01	01.1				Dyrkning af etårige afgrøder	01	011												
4	3	A	01	01.1	01.11			Dyrkning af korn (undtagen ris), bælgfrugter og olieholdige frø	01	011	0111											
5	4	A	01	01.1	01.11	01.11.00		Dyrkning af korn (undtagen ris), bælgfrugter og olieholdige frø	01	011	0111	011100										
6	3	A	01	01.1	01.12			Dyrkning af ris	01	011	0112											
7	4	A	01	01.1	01.12	01.12.00		Dyrkning af ris	01	011	0112	011200										
8	3	A	01	01.1	01.13			Dyrkning af grøntsager og meloner, rødder og rodknolde	01	011	0113											
9	4	A	01	01.1	01.13	01.13.00		Dyrkning af grøntsager og meloner, rødder og rodknolde	01	011	0113	011300										
10	3	A	01	01.1	01.14			Dyrkning af sukkerrør	01	011	0114											
11	4	A	01	01.1	01.14	01.14.00		Dyrkning af sukkerrør	01	011	0114	011400										
12	3	A	01	01.1	01.15			Dyrkning af tobak	01	011	0115											
13	4	A	01	01.1	01.15	01.15.00		Dyrkning af tobak	01	011	0115	011500										
14	3	A	01	01.1	01.16			Dyrkning af tekstilplanter	01	011	0116											
15	4	A	01	01.1	01.16	01.16.00		Dyrkning af tekstilplanter	01	011	0116	011600										
16	3	A	01	01.1	01.19			Dyrkning af andre etårige afgrøder	01	011	0119											
17	4	A	01	01.1	01.19	01.19.00		Dyrkning af andre etårige afgrøder	01	011	0119	011900										
18	2	A	01	01.2				Dyrkning af flerårige afgrøder	01	012												
19	3	A	01	01.2	01.21			Dyrkning af druer	01	012	0121											
20	4	A	01	01.2	01.21	01.21.00		Dyrkning af druer	01	012	0121	012100										
21	3	A	01	01.2	01.22			Dyrkning af tropiske og subtropiske frugter	01	012	0122											
22	4	A	01	01.2	01.22	01.22.00		Dyrkning af tropiske og subtropiske frugter	01	012	0122	012200										
23	3	A	01	01.2	01.23			Dyrkning af citrusfrugter	01	012	0123											
24	4	A	01	01.2	01.23	01.23.00		Dyrkning af citrusfrugter	01	012	0123	012300										
25	3	A	01	01.2	01.24			Dyrkning af kernefrugter og stenfrugter	01	012	0124											
26	4	A	01	01.2	01.24	01.24.00		Dyrkning af kernefrugter og stenfrugter	01	012	0124	012400										
27	3	A	01	01.2	01.25			Dyrkning af andre træfrugter, bær og nødder	01	012	0125											
28	4	A	01	01.2	01.25	01.25.00		Dyrkning af andre træfrugter, bær og nødder	01	012	0125	012500										
29	3	A	01	01.2	01.26			Dyrkning af olieholdige frugter	01	012	0126											
30	4	A	01	01.2	01.26	01.26.00		Dyrkning af olieholdige frugter	01	012	0126	012600										
31	3	A	01	01.2	01.27			Dyrkning af planter til fremstilling af drikkevarer	01	012	0127											
32	4	A	01	01.2	01.27	01.27.00		Dyrkning af planter til fremstilling af drikkevarer	01	012	0127	012700										
33	3	A	01	01.2	01.28			Dyrkning af krydderiplanter, aromaplanter og lægeplanter	01	012	0128											
34	4	A	01	01.2	01.28	01.28.00		Dyrkning af krydderiplanter, aromaplanter og lægeplanter	01	012	0128	012800										
